1	Over Enkidu his friend Gilgameš
2	was weeping bitterly, roving the open land:
3	"I shall die — and shall I not be as Enkidu is?
4	Misery has entered my belly.
5	I have grown afraid of death, so I rove the open land.
6	To the presence of Ūta-napišti, son of Ubar-Tutu,
7	I have taken the road; I go with all speed.
8	I came by night to the passes of the mountains;
9	I saw lions, and I was afraid.
10	I lifted my head; to Sîn I prayed;
11	to [ ... the la]mp(?) of the gods went my supplications:
12	'[O Sîn and ... ,] keep me safe!'"
13	[That night he l]ay down; then he started from a dream:
14	[ ... ] in the moon's presence he rejoiced in life.
15	He took the ha[tchet] to his side;
16	he drew [the sword] from his belt;
17	like an arr[ow] he dropped [am]ong them;
18	he struck the li[ons;] he killed them; he scattered them.
19	And [ ... ] of the mighty one,
20	he cast down [ ... ;]
21	he engraved(?) [ ... ]
22	The name of the fir[st ... ;]
23	the name of the sec[ond ... ]
24	He lifted [his] he[ad; to Sîn he prayed;]
25	to [ ... the lamp(?) of the gods went his supplications:]
26	"O Sî[n ... ]"
27	Ma[y ... ]
28	A[s(?) ... ]
29	O Sî[n(?) ... ]
37	Of the mountain — Māšu is its name:
38	when he arri[ved] at Mount Māšu,
39	(the twins) who daily stand guard over the ris[ing sun,]
40	whose tops [abut] the fabric of the heavens,
41	whose breasts reach down to Arallû below —
42	scorpion-people were guarding its gate,
43	whose dread is terror, whose glance is death,
44	whose fearsome radiance blankets the mountain-ranges.
45	At the sun's rising and the sun's setting they guard the very sun.
46	Gilgameš saw them, and dread and terror shrouded his face;
47	he collected his wits and drew near before them.
48	The scorpion-man calls to his female:
49	"He who has come to us — the flesh of gods is his body!"
50	The scorpion-man's female answers him:
51	"Two-thirds of him is god, and one-third of him human."
52	The scorpion-man, the male, calls out,
53	[saying] a word [to king Gilgameš, f]lesh of the gods:
54	"[You — how did you come here] by the long road,
55	[how did you ... and arri]ve before me,
56	[how did you cross the rivers] whose crossing is a torment?
57	[ ... ] let me learn;
58	[ ... where] your [face] is set,
59	[ ... let me l]earn."
75	"The r[oad] of Ūta-napišti my father [ ... ,]
76	who stood in the assembly of the g[ods and hunted life:]
77	of death and life [let me ask him.]"
78	The scorpion-man shap[ed] his mouth [to speak,]
79	saying t[o Gilgameš:]
80	"There has never been, Gilgameš, one li[ke you;]
81	of the mountain no one [has walked its way(?):]
82	for twelve leagues its inte[rior runs on ... ;]
83	the darkness is dense, and there i[s no light.]
84	To the sun's rising [ ... ;]
85	to the s[un's] setting [ ... ;]
86	to the s[un's] setting [ ... ;]
87	they brought out [ ... ]
89	And you — h[ow will you ... ?]
90	Will you en[ter ... ?]"
125	"In mis[ery ... ,]
126	by frost and s[un my face is scorched;]
127	in weariness [ ... ]
128	Now [ ... ]"
129	The scorpion-ma[n shaped his mouth to speak(?),]
130	[saying a word] to k[ing] Gilgameš, [flesh of the gods:]
131	"Go, Gilga[meš ... ;]
132	Mount Māšu [ ... ;]
133	the mountains and the ran[ges ... ;]
134	in safety [ ... ]
135	The gate of the mountain [ ... ]"
136	Gilg[ameš, on hearing this,]
137	to the word of [the scorpion-man gave heed(?);]
138	he t[ook] the road of the sun [ ... ]
139	One league [ ... :]
140	the darkne[ss] is dense, and [there is no light;]
141	it does not let [him see behind him.]
142	Two leag[ues ... :]
143	the dark[ness] is dense, [and there is no light;]
144	it does not le[t him see behind him.]
145	Three leagues [ ... :]
146	[the darkness is dense, and there is no light;]
147	[it does not let him see behind him.]
148	Four leag[ues ... :]
149	the [darkness] is dense, [and there is no light;]
150	it does not le[t him see behind him.]
151	Five leagues [ ... :]
152	the dark[ness] is dense, [and there is no light;]
153	it does no[t] let [him see behind him.]
154	Six [lea]gues [ ... :]
155	the darkness is dense, [and there is no light;]
156	it does not le[t him see behind him.]
157	At the arr[ival] of the seventh league [ ... :]
158	the dark[ness] is dense, and there i[s no light;]
159	it does not let him see behi[nd him.]
160	Eight leagues — like [ ... ] he crie[s out:]
161	the dark[ness is dense, and there] is no light;
162	it does not le[t him] see behind him.
163	Nine lea[gues ... ] the north wind —
164	[it licked(?)] at his face —
165	[the darkness is dense, and there] is no light;
166	[it does not let him] see behind him.
167	[At the arri]val [of the tenth league,]
168	[ ... ] was drawing close;
169	[at the eleventh league ... , the going] of one league (remained);
170	[at the twelfth league Gilgameš came] out ahead of the sun.
171	[ ... br]ightness was laid down everywhere —
172	and he went straight, when he saw them, toward the trees of the gods.
173	The carnelian-tree carries its fruit,
174	hung with grape-clusters, dazzling to look at;
175	the lapis-tree carries foliage,
176	carrying fruit, a delight to behold.
184	[ ... ] cyp[ress ... ]
185	[ ... ] cedar [ ... ,]
186	its leaf-stems of pappar[dilû-]stone [ ... ]
187	Sea-coral [ ... ] sasu-stone;
188	like thornbush and bri[ar there sprouted(?)] thorns of crystal(?).
189	He tou[ched] a carob: it was [ab]ašmu-stone,
190	šubû-stone, hema[tite ... ]
191	L[ike ... ] and [ ... ] the open land;
192	like [ ... a]gate(?),
193	whose [ ... , the she]lls of the sea [ ... ]
194	it has [ ... ]
195	Gilgameš [ ... ] as he walked about,
196	she(?) lifte[d] h[er] h[ead and ga]zed at h[i]m.
